neighbourhood=Stapleton - St. George,sex=Female,ethnicity=Native American,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Upper Westside,sex=Female,ethnicity=Unknown,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Willowbrook,sex=Male,ethnicity=Unknown,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=East Flatbush - Flatbush,sex=Male,ethnicity=Black,total_hiv_cases=High,total_aids_cases=High
neighbourhood=East Flatbush - Flatbush,sex=Female,ethnicity=Native American,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Southwest Queens,sex=Female,ethnicity=Unknown,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Fordham - Bronx Park,sex=Male,ethnicity=Unknown,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Greenpoint,sex=Female,ethnicity=Multiracial,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Chelsea - Clinton,sex=Female,ethnicity=Native American,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Coney Island - Sheepshead Bay,sex=Male,ethnicity=Multiracial,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Southwest Queens,sex=Female,ethnicity=Multiracial,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Unknown,sex=Male,ethnicity=Multiracial,total_hiv_cases=Medium,total_aids_cases=Low
neighbourhood=Willowbrook,sex=Male,ethnicity=Asian/Pacific Islander,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Flushing - Clearview,sex=Male,ethnicity=Asian/Pacific Islander,total_hiv_cases=Medium,total_aids_cases=Low
neighbourhood=Gramercy Park - Murray Hill,sex=Male,ethnicity=Black,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Crotona - Tremont,sex=Female,ethnicity=Native American,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Willowbrook,sex=Female,ethnicity=Unknown,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Jamaica,sex=Female,ethnicity=Multiracial,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Fordham - Bronx Park,sex=Female,ethnicity=Asian/Pacific Islander,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Union Square - Lower Eastside,sex=Female,ethnicity=Multiracial,total_hiv_cases=Low,total_aids_cases=Low
neighbourhood=Borough Park,sex=Male,ethnicity=Multiracial,total_hiv_cases=Low,total_aids_cases=Low
